N,scalar_kokkos,--->,scalar_base,--->,simd_kokkos
1000,7.64625e-07,x1.754,4.36e-07,x1.235,3.53125e-07
2000,1.14487e-06,x1.296,8.83625e-07,x2.362,3.74125e-07
4000,2.15625e-06,x1.275,1.69175e-06,x2.516,6.72375e-07
8000,5.13237e-06,x1.471,3.48987e-06,x2.544,1.372e-06
16000,7.93912e-06,x1.213,6.54625e-06,x2.811,2.32863e-06
32000,1.82075e-05,x1.158,1.57196e-05,x3.279,4.794e-06
64000,3.57184e-05,x1.789,1.99688e-05,x2.555,7.81538e-06
128000,4.58469e-05,x1.147,3.9958e-05,x3.313,1.20618e-05
256000,9.75305e-05,x1.157,8.43021e-05,x2.775,3.0381e-05
512000,0.000211056,x1.128,0.000187032,x2.104,8.88965e-05
1024000,0.000482439,x1.228,0.000392751,x1.931,0.000203443
2048000,0.00100626,x1.075,0.000936247,x1.45,0.000645903
4096000,0.00198474,x1.157,0.00171598,x1.168,0.00146973
8192000,0.00414511,x1.104,0.00375593,x1.175,0.00319747
16384000,0.00831629,x1.119,0.00743034,x1.129,0.00658143
32768000,0.0166183,x1.131,0.0146996,x1.12,0.0131256
65536000,0.0332872,x1.108,0.0300487,x1.129,0.0266214
